; CHARGES FOR THE POLARIZED COMPLEX WITH 2 K+ BOUND

[ moleculetype ]
; Name            nrexcl
CRO                 3
[ atoms ]
;   nr       type  resnr residue  atom   cgnr   charge  
     1   opls_918      1    CRO     C1      1   0.2360670           
     2   opls_145      1    CRO     C2      2   0.1597870           
     3   opls_908      1    CRO     C3      3  -0.0732130              
     4   opls_902      1    CRO     N1      4  -0.5492140          
     5   opls_918      1    CRO     C4      5   0.2360670           
     6   opls_145      1    CRO     C5      6   0.1597870           
     7   opls_908      1    CRO     C6      7  -0.0732130              
     8   opls_902      1    CRO     N2      8  -0.5492140          
     9   opls_145      1    CRO     C7      9  -0.2555705          
    10   opls_145      1    CRO     C8     10  -0.4193775          
    11   opls_145      1    CRO     C9     11  -0.2555705          
    12   opls_145      1    CRO    C10     12  -0.4193775          
    13   opls_908      1    CRO    C11     13  -0.0215300          
    14   opls_182      1    CRO    C12     14  -0.0054160         
    15   opls_180      1    CRO     O1     14  -0.2933945          
    16   opls_180      1    CRO     O2     14  -0.2833975          
    17   opls_182      1    CRO    C13     15   0.0498130          
    18   opls_180      1    CRO     O3     15  -0.4338030          
    19   opls_182      1    CRO    C14     16   0.1019655          
    20   opls_182      1    CRO    C15     17  -0.0329505          
    21   opls_180      1    CRO     O4     17  -0.3366170          
    22   opls_182      1    CRO    C16     18  -0.0000895         
    23   opls_182      1    CRO    C17     19  -0.0328720         
    24   opls_166      1    CRO    C18     20   0.2950605              
    25   opls_166      1    CRO    C19     21   0.0608445              
    26   opls_180      1    CRO     O5     21  -0.3591030          
    27   opls_182      1    CRO    C20     22   0.0701370           
    28   opls_182      1    CRO    C21     23   0.0300675          
    29   opls_180      1    CRO     O6     23  -0.4302335          
    30   opls_182      1    CRO    C22     24   0.1022815          
    31   opls_182      1    CRO    C23     25  -0.0443385         
    32   opls_182      1    CRO    C24     26  -0.0054160         
    33   opls_180      1    CRO     O7     26  -0.2933945          
    34   opls_180      1    CRO     O8     26  -0.2833975          
    35   opls_182      1    CRO    C25     27   0.0498130          
    36   opls_180      1    CRO     O9     27  -0.4338030          
    37   opls_182      1    CRO    C26     28   0.1019655          
    38   opls_182      1    CRO    C27     29  -0.0329505         
    39   opls_180      1    CRO    O10     29  -0.3366170          
    40   opls_182      1    CRO    C28     30  -0.0000895          
    41   opls_182      1    CRO    C29     31  -0.0328720         
    42   opls_166      1    CRO    C30     32   0.2950605              
    43   opls_166      1    CRO    C31     33   0.0608445              
    44   opls_180      1    CRO    O11     33  -0.3591030          
    45   opls_182      1    CRO    C32     34   0.0701370          
    46   opls_182      1    CRO    C33     35   0.0300675          
    47   opls_180      1    CRO    O12     35  -0.4302335          
    48   opls_182      1    CRO    C34     36   0.1022815          
    49   opls_182      1    CRO    C35     37  -0.0443385         
    50   opls_911      1    CRO     H1     37   0.1350430          
    51   opls_911      1    CRO     H2     37   0.1350430          
    52   opls_911      1    CRO     H3     37   0.1350430          
    53   opls_911      1    CRO     H4     37   0.1350430          
    54   opls_911      1    CRO     H5     37   0.1777905          
    55   opls_911      1    CRO     H6     37   0.1777905          
    56   opls_185      1    CRO     H7     37   0.1414575          
    57   opls_185      1    CRO     H8     37   0.1414575          
    58   opls_185      1    CRO     H9     37   0.1409567          
    59   opls_185      1    CRO    H10     37   0.1409567          
    60   opls_185      1    CRO    H11     37   0.1057458          
    61   opls_185      1    CRO    H12     37   0.1057458          
    62   opls_185      1    CRO    H13     37   0.0783550          
    63   opls_185      1    CRO    H14     37   0.0783550          
    64   opls_185      1    CRO    H15     37   0.0802888          
    65   opls_185      1    CRO    H16     37   0.0802888          
    66   opls_185      1    CRO    H17     37   0.0937687          
    67   opls_185      1    CRO    H18     37   0.0937687          
    68   opls_185      1    CRO    H19     37   0.1022105          
    69   opls_185      1    CRO    H20     37   0.1022105          
    70   opls_185      1    CRO    H21     37   0.1164072          
    71   opls_185      1    CRO    H22     37   0.1164072          
    72   opls_185      1    CRO    H23     37   0.0848953          
    73   opls_185      1    CRO    H24     37   0.0848953          
    74   opls_185      1    CRO    H25     37   0.0952632          
    75   opls_185      1    CRO    H26     37   0.0952632          
    76   opls_185      1    CRO    H27     37   0.1414575          
    77   opls_185      1    CRO    H28     37   0.1414575          
    78   opls_185      1    CRO    H29     37   0.1409567          
    79   opls_185      1    CRO    H30     37   0.1409567          
    80   opls_185      1    CRO    H31     37   0.1057458          
    81   opls_185      1    CRO    H32     37   0.1057458          
    82   opls_185      1    CRO    H33     37   0.0783550          
    83   opls_185      1    CRO    H34     37   0.0783550          
    84   opls_185      1    CRO    H35     37   0.0802888          
    85   opls_185      1    CRO    H36     37   0.0802888          
    86   opls_185      1    CRO    H37     37   0.0937687          
    87   opls_185      1    CRO    H38     37   0.0937687          
    88   opls_185      1    CRO    H39     37   0.1022105          
    89   opls_185      1    CRO    H40     37   0.1022105          
    90   opls_185      1    CRO    H41     37   0.1164072          
    91   opls_185      1    CRO    H42     37   0.1164072          
    92   opls_185      1    CRO    H43     37   0.0848953          
    93   opls_185      1    CRO    H44     37   0.0848953          
    94   opls_185      1    CRO    H45     37   0.0952632          
    95   opls_185      1    CRO    H46     37   0.0952632          
    96   opls_146      1    CRO    H47     37   0.0813480          
    97   opls_146      1    CRO    H48     37   0.0908360          
    98   opls_146      1    CRO    H49     37   0.0813480          
    99   opls_146      1    CRO    H50     37   0.0908360          
