; CHARGES FOR THE POLARIZED COMPLEX WITH 0 K+ BOUND

[ moleculetype ]
; Name            nrexcl
CRO                 3
[ atoms ]
;   nr       type  resnr residue  atom   cgnr   charge  
     1   opls_918      1    CRO     C1      1   0.130011                
     2   opls_145      1    CRO     C2      2   0.177817                
     3   opls_908      1    CRO     C3      3  -0.065949                    
     4   opls_902      1    CRO     N1      4  -0.531247                
     5   opls_918      1    CRO     C4      5   0.104625                
     6   opls_145      1    CRO     C5      6   0.247403                
     7   opls_908      1    CRO     C6      7  -0.114962                    
     8   opls_902      1    CRO     N2      8  -0.514247                
     9   opls_145      1    CRO     C7      9  -0.107796                
    10   opls_145      1    CRO     C8     10  -0.568949                
    11   opls_145      1    CRO     C9     11  -0.144854                
    12   opls_145      1    CRO    C10     12  -0.495184                
    13   opls_908      1    CRO    C11     13  -0.001379                
    14   opls_182      1    CRO    C12     14   0.036250               
    15   opls_180      1    CRO     O1     14  -0.368219                
    16   opls_180      1    CRO     O2     14  -0.502764                
    17   opls_182      1    CRO    C13     15   0.067387               
    18   opls_180      1    CRO     O3     15  -0.439538                
    19   opls_182      1    CRO    C14     16   0.049597               
    20   opls_182      1    CRO    C15     17   0.193046                
    21   opls_180      1    CRO     O4     17  -0.501687                
    22   opls_182      1    CRO    C16     18   0.127541               
    23   opls_182      1    CRO    C17     19   0.149036               
    24   opls_166      1    CRO    C18     20   0.510465                   
    25   opls_166      1    CRO    C19     21  -0.045035                   
    26   opls_180      1    CRO     O5     21  -0.432225                
    27   opls_182      1    CRO    C20     22  -0.042728                
    28   opls_182      1    CRO    C21     23   0.392924               
    29   opls_180      1    CRO     O6     23  -0.550042                
    30   opls_182      1    CRO    C22     24   0.103209               
    31   opls_182      1    CRO    C23     25   0.115264               
    32   opls_182      1    CRO    C24     26   0.036414               
    33   opls_180      1    CRO     O7     26  -0.348567                
    34   opls_180      1    CRO     O8     26  -0.485918                
    35   opls_182      1    CRO    C25     27   0.024596               
    36   opls_180      1    CRO     O9     27  -0.444002                
    37   opls_182      1    CRO    C26     28   0.016663               
    38   opls_182      1    CRO    C27     29   0.208179               
    39   opls_180      1    CRO    O10     29  -0.481115                
    40   opls_182      1    CRO    C28     30   0.108527                
    41   opls_182      1    CRO    C29     31   0.118174               
    42   opls_166      1    CRO    C30     32   0.413474                   
    43   opls_166      1    CRO    C31     33   0.045830                   
    44   opls_180      1    CRO    O11     33  -0.459312                
    45   opls_182      1    CRO    C32     34  -0.008790               
    46   opls_182      1    CRO    C33     35   0.421089               
    47   opls_180      1    CRO    O12     35  -0.570674                
    48   opls_182      1    CRO    C34     36   0.152453               
    49   opls_182      1    CRO    C35     37   0.075405               
    50   opls_911      1    CRO     H1     37   0.126102               
    51   opls_911      1    CRO     H2     37   0.137777               
    52   opls_911      1    CRO     H3     37   0.133664               
    53   opls_911      1    CRO     H4     37   0.145112               
    54   opls_911      1    CRO     H5     37   0.150038               
    55   opls_911      1    CRO     H6     37   0.206046               
    56   opls_185      1    CRO     H7     37   0.151907               
    57   opls_185      1    CRO     H8     37   0.188695               
    58   opls_185      1    CRO     H9     37   0.166067               
    59   opls_185      1    CRO    H10     37   0.167456               
    60   opls_185      1    CRO    H11     37   0.082169               
    61   opls_185      1    CRO    H12     37   0.091136               
    62   opls_185      1    CRO    H13     37   0.098844               
    63   opls_185      1    CRO    H14     37   0.082489               
    64   opls_185      1    CRO    H15     37   0.055015               
    65   opls_185      1    CRO    H16     37   0.087658               
    66   opls_185      1    CRO    H17     37   0.043236               
    67   opls_185      1    CRO    H18     37   0.060046               
    68   opls_185      1    CRO    H19     37   0.055529               
    69   opls_185      1    CRO    H20     37   0.064353               
    70   opls_185      1    CRO    H21     37   0.032206               
    71   opls_185      1    CRO    H22     37   0.059484               
    72   opls_185      1    CRO    H23     37   0.119057               
    73   opls_185      1    CRO    H24     37   0.102797               
    74   opls_185      1    CRO    H25     37   0.003055               
    75   opls_185      1    CRO    H26     37   0.001998               
    76   opls_185      1    CRO    H27     37   0.058328               
    77   opls_185      1    CRO    H28     37   0.053420               
    78   opls_185      1    CRO    H29     37   0.055026               
    79   opls_185      1    CRO    H30     37   0.088959               
    80   opls_185      1    CRO    H31     37   0.088155               
    81   opls_185      1    CRO    H32     37   0.095076               
    82   opls_185      1    CRO    H33     37   0.107540               
    83   opls_185      1    CRO    H34     37   0.094404               
    84   opls_185      1    CRO    H35     37   0.066823               
    85   opls_185      1    CRO    H36     37   0.096011               
    86   opls_185      1    CRO    H37     37   0.038901               
    87   opls_185      1    CRO    H38     37   0.060243               
    88   opls_185      1    CRO    H39     37   0.062799               
    89   opls_185      1    CRO    H40     37   0.076822               
    90   opls_185      1    CRO    H41     37   0.043829               
    91   opls_185      1    CRO    H42     37   0.069920               
    92   opls_185      1    CRO    H43     37   0.101391               
    93   opls_185      1    CRO    H44     37   0.098887               
    94   opls_185      1    CRO    H45     37  -0.007612               
    95   opls_185      1    CRO    H46     37  -0.008071               
    96   opls_146      1    CRO    H47     37   0.044903               
    97   opls_146      1    CRO    H48     37   0.044593               
    98   opls_146      1    CRO    H49     37   0.060544               
    99   opls_146      1    CRO    H50     37   0.096973               
